,comb,lig,metric,val
0,"('FcR2A', 'FcR2B', 'FcR3A')",0,r,0.7802363345983006
1,"('FcR2A', 'FcR2B', 'FcR3A')",0,r2,-3.067890829892331
2,"('FcR2A', 'FcR2B', 'FcR3A')",1,r,0.7007519071815305
3,"('FcR2A', 'FcR2B', 'FcR3A')",1,r2,-4.196573032436971
4,"('FcR2A', 'FcR2B', 'FcR3A')",2,r,0.9183736854652615
5,"('FcR2A', 'FcR2B', 'FcR3A')",2,r2,0.47433884165428264
6,"('FcR2A', 'FcR2B', 'FcR3A')",0,r,0.7098120962524637
7,"('FcR2A', 'FcR2B', 'FcR3A')",0,r2,-4.267710001129206
8,"('FcR2A', 'FcR2B', 'FcR3A')",1,r,0.6409994278452703
9,"('FcR2A', 'FcR2B', 'FcR3A')",1,r2,-5.484192124554961
10,"('FcR2A', 'FcR2B', 'FcR3A')",2,r,0.9225779549416762
11,"('FcR2A', 'FcR2B', 'FcR3A')",2,r2,0.5286376903069565
12,"('FcR2A', 'FcR2B', 'FcR3A')",0,r,0.7864422704764433
13,"('FcR2A', 'FcR2B', 'FcR3A')",0,r2,-2.794944578592054
14,"('FcR2A', 'FcR2B', 'FcR3A')",1,r,0.7107485582296404
15,"('FcR2A', 'FcR2B', 'FcR3A')",1,r2,-3.693069244965092
16,"('FcR2A', 'FcR2B', 'FcR3A')",2,r,0.9158814392774961
17,"('FcR2A', 'FcR2B', 'FcR3A')",2,r2,0.4524352881023318
18,"('FcR2A', 'FcR2B', 'FcR3B')",0,r,0.7470803248771318
19,"('FcR2A', 'FcR2B', 'FcR3B')",0,r2,-1.8690427092424753
20,"('FcR2A', 'FcR2B', 'FcR3B')",1,r,0.6497906178307526
21,"('FcR2A', 'FcR2B', 'FcR3B')",1,r2,-2.585844502205517
22,"('FcR2A', 'FcR2B', 'FcR3B')",2,r,0.9127296330660706
23,"('FcR2A', 'FcR2B', 'FcR3B')",2,r2,0.3314481968265468
24,"('FcR2A', 'FcR2B', 'FcR3B')",0,r,0.8237537415864056
25,"('FcR2A', 'FcR2B', 'FcR3B')",0,r2,-2.234334102120902
26,"('FcR2A', 'FcR2B', 'FcR3B')",1,r,0.7463458074675691
27,"('FcR2A', 'FcR2B', 'FcR3B')",1,r2,-2.9716924142255445
28,"('FcR2A', 'FcR2B', 'FcR3B')",2,r,0.907923434592615
29,"('FcR2A', 'FcR2B', 'FcR3B')",2,r2,0.25455673444667515
30,"('FcR2A', 'FcR2B', 'FcR3B')",0,r,0.7898413439840565
31,"('FcR2A', 'FcR2B', 'FcR3B')",0,r2,-3.2150484227572136
32,"('FcR2A', 'FcR2B', 'FcR3B')",1,r,0.7203679343569988
33,"('FcR2A', 'FcR2B', 'FcR3B')",1,r2,-4.2486925397346935
34,"('FcR2A', 'FcR2B', 'FcR3B')",2,r,0.9079869217076479
35,"('FcR2A', 'FcR2B', 'FcR3B')",2,r2,0.2549363210187081
36,"('FcR2A', 'FcR3A', 'FcR3B')",0,r,0.8849767960473034
37,"('FcR2A', 'FcR3A', 'FcR3B')",0,r2,0.17043921922200989
38,"('FcR2A', 'FcR3A', 'FcR3B')",1,r,0.833255583496877
39,"('FcR2A', 'FcR3A', 'FcR3B')",1,r2,0.3416052850948518
40,"('FcR2A', 'FcR3A', 'FcR3B')",2,r,0.8329161190368155
41,"('FcR2A', 'FcR3A', 'FcR3B')",2,r2,0.6558571694861854
42,"('FcR2A', 'FcR3A', 'FcR3B')",0,r,0.8666438933214707
43,"('FcR2A', 'FcR3A', 'FcR3B')",0,r2,0.04232358200753117
44,"('FcR2A', 'FcR3A', 'FcR3B')",1,r,0.8138705894096467
45,"('FcR2A', 'FcR3A', 'FcR3B')",1,r2,0.39861390678303765
46,"('FcR2A', 'FcR3A', 'FcR3B')",2,r,0.8179831487377104
47,"('FcR2A', 'FcR3A', 'FcR3B')",2,r2,0.583246448044203
48,"('FcR2A', 'FcR3A', 'FcR3B')",0,r,0.8646917751131302
49,"('FcR2A', 'FcR3A', 'FcR3B')",0,r2,0.027106004948635798
50,"('FcR2A', 'FcR3A', 'FcR3B')",1,r,0.850769987812452
51,"('FcR2A', 'FcR3A', 'FcR3B')",1,r2,0.4334947351182571
52,"('FcR2A', 'FcR3A', 'FcR3B')",2,r,0.8488412618726646
53,"('FcR2A', 'FcR3A', 'FcR3B')",2,r2,0.6510944676045711
54,"('FcR2B', 'FcR3A', 'FcR3B')",0,r,0.8390548565652325
55,"('FcR2B', 'FcR3A', 'FcR3B')",0,r2,-0.4236993048655653
56,"('FcR2B', 'FcR3A', 'FcR3B')",1,r,0.8716084741355745
57,"('FcR2B', 'FcR3A', 'FcR3B')",1,r2,0.7050671424751886
58,"('FcR2B', 'FcR3A', 'FcR3B')",2,r,0.8124215384236465
59,"('FcR2B', 'FcR3A', 'FcR3B')",2,r2,-0.23610618550768891
60,"('FcR2B', 'FcR3A', 'FcR3B')",0,r,0.8420132437648331
61,"('FcR2B', 'FcR3A', 'FcR3B')",0,r2,-0.39932082142242775
62,"('FcR2B', 'FcR3A', 'FcR3B')",1,r,0.8729127399176408
