,Method,r2,r,Ligand,Missingness
0,impute_missing_ms,-1.3157917495013192,0.5124228114528541,IgG1,0.1
1,impute_missing_ms,-0.9515697967514689,0.4699144730425956,IgG1,0.1
2,impute_missing_ms,-1.0249408438449819,0.5157437312294306,IgG1,0.1
3,impute_missing_ms,0.750651061396585,0.8675056723977728,IgG3,0.1
4,impute_missing_ms,0.6878403231871733,0.829453203117517,IgG3,0.1
5,impute_missing_ms,0.7594917720739114,0.8729954854088031,IgG3,0.1
6,impute_missing_ms,0.35031447866154686,0.9314409675546399,FcR2A,0.1
7,impute_missing_ms,0.39360648491165473,0.9529129439704949,FcR2A,0.1
8,impute_missing_ms,0.4170048077654911,0.9347361697146416,FcR2A,0.1
9,impute_missing_ms,0.30359663701462714,0.9326031638992072,FcR2B,0.1
10,impute_missing_ms,0.38958720959304194,0.9321248071019251,FcR2B,0.1
11,impute_missing_ms,0.3859268653682062,0.9359353557230432,FcR2B,0.1
12,impute_missing_ms,0.565365024492527,0.9336809656116039,FcR3A,0.1
13,impute_missing_ms,0.5942172627874749,0.9537159741008738,FcR3A,0.1
14,impute_missing_ms,0.5561348727642446,0.93637631701349,FcR3A,0.1
15,impute_missing_ms,0.532089890980032,0.9441626425866526,FcR3B,0.1
16,impute_missing_ms,0.5296582217500551,0.944270862639692,FcR3B,0.1
17,impute_missing_ms,0.5662246102086641,0.9568151534126877,FcR3B,0.1
0,impute_missing_pca,0.3283260974730302,0.5795559248727302,IgG1,0.1
1,impute_missing_pca,0.350068792253293,0.6004335315543716,IgG1,0.1
2,impute_missing_pca,0.2951126622478486,0.5628728806333134,IgG1,0.1
3,impute_missing_pca,0.77287359085128,0.879703887684851,IgG3,0.1
4,impute_missing_pca,0.7191632621449536,0.853655474462591,IgG3,0.1
5,impute_missing_pca,0.7770273511372388,0.8828564322191477,IgG3,0.1
6,impute_missing_pca,0.9144941989520258,0.9566269854448994,FcR2A,0.1
7,impute_missing_pca,0.9297008061813974,0.9644151384114135,FcR2A,0.1
8,impute_missing_pca,0.9141962980873571,0.9568472832466111,FcR2A,0.1
9,impute_missing_pca,0.9248268294530726,0.9624006053196652,FcR2B,0.1
10,impute_missing_pca,0.9205925216704276,0.9596018261412202,FcR2B,0.1
11,impute_missing_pca,0.9336776920329409,0.9664279167960669,FcR2B,0.1
12,impute_missing_pca,0.8424512102792334,0.9188104400571832,FcR3A,0.1
13,impute_missing_pca,0.8220205632070353,0.9081048109399193,FcR3A,0.1
14,impute_missing_pca,0.9249278349008176,0.9618864624954749,FcR3A,0.1
15,impute_missing_pca,0.9339244446322353,0.9666827796401436,FcR3B,0.1
16,impute_missing_pca,0.9471108784874464,0.9733850669742388,FcR3B,0.1
17,impute_missing_pca,0.9349096553283583,0.9673048007040109,FcR3B,0.1
