,Rank,r2,r,Ligand,Missingness
0,1,0.13987427035911437,0.4528441807212586,IgG1,0.1
1,1,0.4577198312859271,0.6927726925356398,IgG1,0.1
2,1,0.18839053877191647,0.4590392320155573,IgG1,0.1
3,1,0.19306126315568262,0.4730312991078071,IgG1,0.1
4,1,0.32076983857565167,0.5731754552485151,IgG1,0.1
5,1,0.7388834716637006,0.8757564839003034,IgG3,0.1
6,1,0.7834418544957065,0.8860302328528386,IgG3,0.1
7,1,0.7981948541270738,0.8973652711280248,IgG3,0.1
8,1,0.6596283681587429,0.8190972992953889,IgG3,0.1
9,1,0.7084996978683722,0.843166207065425,IgG3,0.1
10,1,0.8542184333957334,0.9263394170751175,FcR2A,0.1
11,1,0.8636046142197592,0.9320980454693854,FcR2A,0.1
12,1,0.9249802749067727,0.9650064072317583,FcR2A,0.1
13,1,0.9318441126073586,0.9653491658164814,FcR2A,0.1
14,1,0.9368605042609022,0.9687670292413834,FcR2A,0.1
15,1,0.879730607036495,0.9383645173973313,FcR2B,0.1
16,1,0.8945998671099706,0.9469218156790082,FcR2B,0.1
17,1,0.9195481856789081,0.9590270818864366,FcR2B,0.1
18,1,0.9103528974866586,0.9571923272453163,FcR2B,0.1
19,1,0.9143877067772064,0.9586638828776971,FcR2B,0.1
20,1,0.6957553845347086,0.8443594380694184,FcR3A,0.1
21,1,0.7813572276137924,0.8876721739605237,FcR3A,0.1
22,1,0.7854314034002512,0.8864841636786894,FcR3A,0.1
23,1,0.7607667799411713,0.8728128888606793,FcR3A,0.1
24,1,0.7861533167516552,0.8881344544809422,FcR3A,0.1
25,1,0.9357890163880345,0.9678295069102099,FcR3B,0.1
26,1,0.9460974415755077,0.9769332204720926,FcR3B,0.1
27,1,0.8819159675156272,0.9413374248309999,FcR3B,0.1
28,1,0.9180562317834031,0.9586914271441651,FcR3B,0.1
29,1,0.9337758514752984,0.9737113161635331,FcR3B,0.1
0,2,-5.387416009648648,0.0474413321235697,IgG1,0.1
1,2,-6.672405302350322,-0.016766407300831197,IgG1,0.1
2,2,-7.34025662188777,0.35889552555862675,IgG1,0.1
3,2,-13.517179866691926,0.08594741562421734,IgG1,0.1
4,2,-8.764793359364544,0.2729993657512587,IgG1,0.1
5,2,0.8054640344858464,0.8980850510979025,IgG3,0.1
6,2,0.7667476900663889,0.8836373750761674,IgG3,0.1
7,2,0.7985461787904513,0.9148715354029583,IgG3,0.1
8,2,0.7633997454823012,0.8910541069339585,IgG3,0.1
9,2,0.7996066729138522,0.9080648114371236,IgG3,0.1
10,2,0.9516136384068632,0.9785919741813398,FcR2A,0.1
11,2,0.964426369930462,0.983186713888993,FcR2A,0.1
12,2,0.9542350960855438,0.9771734663769507,FcR2A,0.1
13,2,0.8773555152070327,0.9376219262697628,FcR2A,0.1
14,2,0.9323824003378611,0.9659033390501532,FcR2A,0.1
15,2,0.9131872507155457,0.9588132899796882,FcR2B,0.1
16,2,0.8721868752584655,0.9372061273809035,FcR2B,0.1
17,2,0.897314943096754,0.9476652081865425,FcR2B,0.1
18,2,0.8914151767869147,0.9448297234795331,FcR2B,0.1
19,2,0.9335512237838814,0.9666519954783973,FcR2B,0.1
20,2,0.8938917906911733,0.9458424235985854,FcR3A,0.1
21,2,0.806698436114683,0.9042230891976236,FcR3A,0.1
22,2,0.7756792969873721,0.8823752650447728,FcR3A,0.1
23,2,0.7768711395035753,0.8847526477649323,FcR3A,0.1
24,2,0.8277177663655624,0.910461474652324,FcR3A,0.1
25,2,0.9292496217840913,0.9642349099791105,FcR3B,0.1
26,2,0.9049554336691863,0.9536425595961564,FcR3B,0.1
27,2,0.9148529853683913,0.957301292479495,FcR3B,0.1
28,2,0.935176913461958,0.9679820634316688,FcR3B,0.1
29,2,0.9409643551887514,0.9703853222066329,FcR3B,0.1
0,3,-6.391093737649553,0.3699441757309025,IgG1,0.1
1,3,-3.428437734380565,0.09705756702121522,IgG1,0.1
2,3,-5.268176193453257,0.01676973736079455,IgG1,0.1
3,3,-0.8579086763153929,0.07076181860838011,IgG1,0.1
4,3,-4.79472531860381,0.0557728484467539,IgG1,0.1
5,3,-2.3180647557603464,0.26963160752680837,IgG3,0.1
6,3,-1.7466213400806159,0.33152816182502626,IgG3,0.1
7,3,-0.7977632707175457,0.4405939694780835,IgG3,0.1
8,3,-1.6045644578766787,0.33879440421747964,IgG3,0.1
9,3,-3.262420622939495,0.2251351203159198,IgG3,0.1
10,3,0.9249900385163798,0.9621298598849408,FcR2A,0.1
11,3,0.9608926891139591,0.9808889742999006,FcR2A,0.1
12,3,0.9020960682199823,0.9565038418058035,FcR2A,0.1
13,3,0.9585913352049313,0.9804388023251085,FcR2A,0.1
14,3,0.9490455997538151,0.9743630890791553,FcR2A,0.1
15,3,0.8449816740059657,0.9213365982096561,FcR2B,0.1
16,3,0.8954692957596689,0.9478832089530057,FcR2B,0.1
17,3,0.8861702851603752,0.9422196150051717,FcR2B,0.1
18,3,0.859834142144736,0.9476499730497815,FcR2B,0.1
19,3,0.8962789600511902,0.950064899753933,FcR2B,0.1
20,3,0.8270805455880829,0.9103432772642356,FcR3A,0.1
21,3,0.8724054227143718,0.9382483468617644,FcR3A,0.1
22,3,0.928409995509206,0.9685187854464864,FcR3A,0.1
23,3,0.7846518103030959,0.8890888366879319,FcR3A,0.1
24,3,0.8657665897404148,0.9319914696335947,FcR3A,0.1
25,3,0.9069321095636953,0.9527223509882924,FcR3B,0.1
26,3,0.9425006359435555,0.9723055535235272,FcR3B,0.1
27,3,0.9441396128664273,0.9718609695547964,FcR3B,0.1
28,3,0.9483318255661177,0.9754734912216796,FcR3B,0.1
29,3,0.8574517126762397,0.926382539159053,FcR3B,0.1
0,4,-0.375043483904977,-0.04819646012482104,IgG1,0.1
1,4,-0.8033195979910506,-0.03188837804146195,IgG1,0.1
2,4,-0.38137094695830487,0.031904429090381596,IgG1,0.1
3,4,-0.6506841214315209,0.06825004144750034,IgG1,0.1
4,4,-0.27227731491456186,0.037757519166353455,IgG1,0.1
5,4,-0.3486584289353025,0.3893381615409619,IgG3,0.1
6,4,-1.2081776659568844,0.36147818813120847,IgG3,0.1
7,4,-1.4659999965062194,0.3483684518102565,IgG3,0.1
8,4,-0.5087872538591482,0.451329310352106,IgG3,0.1
9,4,-1.083500612219185,0.2615978796266729,IgG3,0.1
10,4,0.966730494217619,0.9835289610489498,FcR2A,0.1
11,4,0.970349525793577,0.9853230649766522,FcR2A,0.1
12,4,0.9399585591147479,0.9705646786261571,FcR2A,0.1
13,4,0.9185097102781744,0.9589202729080784,FcR2A,0.1
14,4,0.9363010786245897,0.969050918213855,FcR2A,0.1
15,4,0.9405492868722318,0.9701072422031106,FcR2B,0.1
16,4,0.9397118112638512,0.9694690650981279,FcR2B,0.1
17,4,0.952813296757738,0.9763489037916179,FcR2B,0.1
18,4,0.9158266234072634,0.957150384407884,FcR2B,0.1
19,4,0.9091722677409244,0.9557915576095685,FcR2B,0.1
20,4,-0.5399124896700276,0.561748286071085,FcR3A,0.1
21,4,0.4380103280853602,0.8117015738096427,FcR3A,0.1
22,4,0.42162254276563194,0.8280730644349906,FcR3A,0.1
23,4,0.2287750776527746,0.8469517902204107,FcR3A,0.1
24,4,0.4968753251901449,0.8390698162227267,FcR3A,0.1
25,4,0.9305630968148579,0.9672876244994544,FcR3B,0.1
26,4,0.9274443265054525,0.9637984415181128,FcR3B,0.1
27,4,0.9583467014394181,0.9791334181171018,FcR3B,0.1
28,4,0.9692872442316252,0.9846822501243853,FcR3B,0.1
29,4,0.9696485449733708,0.984927870028441,FcR3B,0.1
0,5,-0.19950439805982456,0.11450555715771525,IgG1,0.1
1,5,0.04062103549328755,0.24648536491541337,IgG1,0.1
2,5,-0.1976678351183898,0.17896574427782078,IgG1,0.1
3,5,-0.47129799154339724,-0.1082544661753606,IgG1,0.1
4,5,-0.04242260876414283,0.16592903000209883,IgG1,0.1
5,5,-0.2623658635738473,0.06285107009574727,IgG3,0.1
6,5,-2.1145533976387645,0.12298883263780355,IgG3,0.1
7,5,-0.19534263818729292,0.16049231343070902,IgG3,0.1
8,5,-0.6191841158640576,0.10196063648060935,IgG3,0.1
9,5,-0.05882150108118922,0.22461911631339018,IgG3,0.1
10,5,-0.11428863410701129,0.5349235024711391,FcR2A,0.1
11,5,-0.005678753243845813,0.6600342540374763,FcR2A,0.1
12,5,0.05530236807023625,0.6409904741906016,FcR2A,0.1
13,5,-0.15408204880521037,-0.0015954863715122894,FcR2A,0.1
14,5,-0.020966686822557534,0.6278770942808073,FcR2A,0.1
15,5,0.904478413443994,0.9526406019873578,FcR2B,0.1
