Sample,Antigen,IgG1,IgG1f,IgG3,IgG3f
0,B.1.1.7.RBD,6.082667848807946,6.146556952959193,164303.29562592023,587790.106220357
0,B.1.1.7.S,0.23141596357061076,0.23137372339252577,277285.56870194,582800.8444640125
0,B.1.351.RBD,0.058494014443796136,0.05850060331453159,123946.78072925143,650480.5074065473
0,B.1.351.S,0.2768423634992677,0.28181176673423947,392190.0263508284,2530964.0966500943
0,B.1.617.2.RBD,0.007690074132574463,0.007690258846224416,91331.80984995617,448988.27473571344
0,B.617.1.RBD,0.044497509629688535,0.04450221977799453,100844.59778912914,562038.6395672292
0,B.617.1.S,445.2746277013031,262.71791540329093,397307.43553493987,2442910.251111554
0,B.617.2.S,1.004195731353829,1.0031763083503458,288044.2095856245,1013616.5152668231
0,WT.N,88.9778392399182,85.53107236250395,332086.7854139395,1261280.3644735757
0,WT.NTD,0.02017261985972866,0.020173586788204627,146890.64193901612,813600.6022470251
0,WT.RBD,0.817846067747671,0.8177951514090402,282553.7344254876,809908.8993924435
0,WT.S,0.03519334427120836,0.0351937402469188,224705.5200102927,600295.1831047139
0,WT.S1,0.010708972644791271,0.010709146537658278,161556.73365046288,505131.1923911872
0,WT.S2,0.062484328204593854,0.06249451223383519,108152.03406907392,631243.5462357487
1,B.1.1.7.RBD,17.0156613158284,17.61075201309093,196503.70789139267,468220.0466650212
1,B.1.1.7.S,40.1931875771513,39.26945898950477,347631.1082462841,408585.73267458065
1,B.1.351.RBD,0.07451775681782344,0.07453405450834602,145122.33751298615,636182.213908591
1,B.1.351.S,47.467077950015366,45.724474908037166,673009.5440816267,1558613.9426678685
1,B.1.617.2.RBD,0.006913974955316162,0.006914099567982192,104173.66020009777,465011.29967013653
1,B.617.1.RBD,0.03715068223804608,0.037153182126298735,114466.76009815448,503198.3910954293
1,B.617.1.S,1535.9921512710946,1788.6180800468755,420188.9175657227,847549.5131113513
1,B.617.2.S,44.59467835039348,42.57819270580592,379871.4337349247,546168.4702176675
1,WT.N,374.637156602225,584.883969117721,364495.44662603113,368363.2943510933
1,WT.NTD,0.010436437602369578,0.010436740827600792,124729.65439440242,361181.6387945155
1,WT.RBD,6.520974154318737,6.5413782298991325,245872.02509579188,467195.3466713832
1,WT.S,0.13356002272096554,0.13358386991859889,199722.16444115102,545102.283793204
1,WT.S1,0.041447945403650946,0.04145058245648733,170115.2020745298,465589.92969032325
1,WT.S2,0.10643077021039705,0.10646486212780246,114247.24581033477,536848.1344689494
2,B.1.1.7.RBD,2.346635690983803,2.3593238952802222,181171.00740288774,332707.4884685175
2,B.1.1.7.S,0.05254308849645206,0.0525499161092854,138455.59429676813,338225.1631487697
2,B.1.351.RBD,0.03262171159132549,0.03262538816466145,118955.65660450546,492270.3939681589
2,B.1.351.S,0.047804414691427106,0.047806586767680646,200738.29802705336,602953.5992483151
2,B.1.617.2.RBD,0.004703207905904029,0.004703285549603271,98672.87012426485,334525.8674310958
